timestamp,center_x,center_y
2026-03-04 15:24:50.664,443.81,369.23
2026-03-04 15:24:50.752,456.30,353.70
2026-03-04 15:24:50.840,446.18,326.70
2026-03-04 15:24:50.932,472.50,350.33
2026-03-04 15:24:51.026,422.21,290.93
2026-03-04 15:24:51.121,420.86,291.26
2026-03-04 15:24:51.229,426.60,283.16
2026-03-04 15:24:51.320,441.45,301.73
2026-03-04 15:24:51.409,415.12,319.95
2026-03-04 15:24:51.496,414.11,338.18
2026-03-04 15:24:51.590,804.60,546.75
2026-03-04 15:24:51.677,459.00,337.16
2026-03-04 15:24:51.766,490.73,314.21
2026-03-04 15:24:51.944,395.55,182.25
2026-03-04 15:24:52.031,408.38,178.88
2026-03-04 15:24:52.131,435.38,178.03
2026-03-04 15:24:52.425,637.20,427.61
2026-03-04 15:24:52.511,710.10,446.18
2026-03-04 15:24:52.603,720.90,451.91
2026-03-04 15:24:52.957,416.14,204.02
2026-03-04 15:24:53.044,471.15,217.52
2026-03-04 15:24:53.148,492.75,210.94
2026-03-04 15:24:53.243,598.73,347.62
2026-03-04 15:24:53.333,602.10,410.06
2026-03-04 15:24:53.431,584.21,462.04
2026-03-04 15:24:53.617,440.78,359.78
2026-03-04 15:24:53.704,407.70,297.68
2026-03-04 15:24:53.794,415.80,309.15
2026-03-04 15:24:53.884,484.65,317.93
2026-03-04 15:24:53.973,505.58,369.23
2026-03-04 15:24:54.075,502.88,366.53
2026-03-04 15:24:54.264,447.53,333.45
2026-03-04 15:24:54.352,398.25,309.49
2026-03-04 15:24:54.440,396.56,304.76
2026-03-04 15:24:54.532,398.25,301.73
2026-03-04 15:24:54.710,445.50,326.70
2026-03-04 15:24:54.804,454.28,330.75
2026-03-04 15:24:54.894,453.26,333.45
2026-03-04 15:24:54.982,452.25,329.40
2026-03-04 15:24:55.165,397.58,317.59
2026-03-04 15:24:55.338,384.08,336.15
2026-03-04 15:24:55.520,436.39,320.62
2026-03-04 15:24:55.608,444.83,309.15
2026-03-04 15:24:55.696,452.25,310.84
2026-03-04 15:24:55.788,450.90,311.17
2026-03-04 15:24:55.964,413.44,308.48
2026-03-04 15:24:56.053,406.01,311.51
2026-03-04 15:24:56.146,394.88,311.17
2026-03-04 15:24:56.235,410.06,336.49
2026-03-04 15:24:56.333,412.76,334.80
2026-03-04 15:24:56.511,467.78,306.45
2026-03-04 15:24:56.600,469.12,295.65
2026-03-04 15:24:56.690,451.24,294.64
2026-03-04 15:24:56.906,395.89,341.21
2026-03-04 15:24:56.994,393.53,328.73
2026-03-04 15:24:57.092,393.53,329.06
2026-03-04 15:24:57.271,443.14,308.14
2026-03-04 15:24:57.388,457.65,302.06
2026-03-04 15:24:57.484,459.34,300.38
2026-03-04 15:24:57.574,457.65,301.05
2026-03-04 15:24:57.663,434.03,322.99
2026-03-04 15:24:57.751,423.90,331.43
2026-03-04 15:24:57.841,405.00,343.58
2026-03-04 15:24:57.930,407.03,344.25
2026-03-04 15:24:58.028,408.38,346.95
2026-03-04 15:24:58.122,446.17,307.80
2026-03-04 15:24:58.214,441.45,310.16
2026-03-04 15:24:58.309,457.31,284.17
