target_x,target_y,error_x,error_y,pid_out_x,pid_out_y
68.344,237.600,-363.656,-82.400,-14.895,76.244
69.103,232.538,-362.897,-87.462,-11.664,75.442
97.875,262.913,-334.125,-57.087,-8.815,75.069
115.763,268.988,-316.237,-51.012,-6.076,74.641
161.578,280.800,-270.422,-39.200,-3.870,74.344
207.225,289.238,-224.775,-30.762,-2.071,74.108
230.850,294.638,-201.150,-25.362,-0.383,73.906
262.069,298.350,-169.931,-21.650,0.992,73.729
290.925,303.750,-141.075,-16.250,2.121,73.609
308.475,309.825,-123.525,-10.175,3.143,73.545
331.425,313.875,-100.575,-6.125,3.938,73.545
350.325,318.938,-81.675,-1.062,4.581,73.545
361.463,318.600,-70.537,-1.400,5.160,73.545
373.275,320.625,-58.725,0.625,5.631,73.545
377.325,321.975,-54.675,1.975,6.100,73.545
387.788,327.038,-44.212,7.038,6.448,73.545
391.163,337.500,-40.837,17.500,6.796,73.748
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
373.275,380.025,-58.725,60.025,7.400,74.472
